id,plataforma,cidade,bairro,titulo,preco_aluguel,quartos,area_m2,status,data_descoberta,data_atualizacao,link
olx_casa_1f2f0f545b,OLX,Salvador,Geral,"Casas para alugar - Salvador, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/salvador
olx_casa_166cade1ab,OLX,Salvador,Cabula,"Casas com 3 quartos para alugar - Cabula Vi, Salvador - BA",1300.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/3-quartos/estado-ba/grande-salvador/salvador/cabula-vi
olx_casa_8d4c4055ae,OLX,Salvador,Brotas,"Casas para alugar - Brotas, Salvador - BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/salvador/brotas
olx_casa_fb4d609adf,OLX,Salvador,Cabula,"Casas para alugar - Cabula Vi, Salvador - BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/salvador/cabula-vi
olx_casa_489cc8806a,OLX,Salvador,Cabula,"Imóveis com 2 quartos para alugar - Cabula, Salvador - BA",3000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/2-quartos/estado-ba/grande-salvador/salvador/cabula
olx_casa_4b475ac22c,OLX,Lauro de Freitas,Buraquinho,"Casas para alugar - Lauro de Freitas, Grande Salvador - BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_casa_353d4b2604,OLX,Lauro de Freitas,Buraquinho,condomínios em lauro de freitas para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/condominios-em-lauro-de-freitas-para-alugar
olx_casa_41c15c6532,OLX,Lauro de Freitas,Buraquinho,casas para alugar em lauro de freitas com piscina,5350.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/casas-para-alugar-em-lauro-de-freitas-com-piscina
olx_casa_194c8e8b21,OLX,Lauro de Freitas,Vilas do Atlântico,"Imóveis com 3 quartos para alugar - Lauro de Freitas, Grande ...",16000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/3-quartos/mobiliado/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_casa_e72068cd1f,OLX,Lauro de Freitas,Geral,"Imóveis com 3 quartos para alugar - Lauro de Freitas, Grande ...",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/3-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
