id,plataforma,cidade,bairro,titulo,preco_aluguel,quartos,area_m2,status,data_descoberta,data_atualizacao,link
olx_ind_181295c46a,OLX,Salvador,Brotas,Imóveis com 1 quarto para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/1-quarto/estado-ba/grande-salvador/salvador/campinas-de-brotas
olx_ind_4b475ac22c,OLX,Lauro de Freitas,Buraquinho,Casas para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_ind_41c15c6532,OLX,Lauro de Freitas,Buraquinho,"""casas para alugar em lauro de freitas com piscina""",5350.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/anuncios/casas-para-alugar-em-lauro-de-freitas-com-piscina
olx_ind_18ebc9ee09,OLX,Santo Amaro,Geral,Casas com 2 quartos à venda,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/venda/casas/2-quartos/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_ind_e2e3ce19d6,OLX,Santo Amaro,Geral,"""santo amaro bahia"" no Brasil",350.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/anuncios/santo-amaro-bahia
olx_ind_41931e3cfa,OLX,Santo Amaro,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_ind_c68ca5e197,OLX,Santo Amaro,Geral,Casas à venda,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/venda/casas/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_ind_9c8aa92164,OLX,Santo Amaro,Geral,Casas para alugar,700.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/acupe-santo-amaro
olx_ind_3644e13699,OLX,Santo Amaro,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/piscina/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_ind_afebb91ecb,OLX,Santo Amaro,Geral,Quartos para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/aluguel-de-quartos/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_ind_afdb637d9b,OLX,Salvador,Brotas,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/salvador/brotas
olx_ind_f0b4071a2e,OLX,Salvador,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/mobiliado/estado-ba/grande-salvador
olx_ind_06cb314fe3,OLX,Salvador,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/salvador/campo-grande
olx_ind_6ce1bbd68e,OLX,Salvador,Brotas,Casas com 2 quartos para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/casas/2-quartos/estado-ba/grande-salvador/salvador/brotas
olx_ind_3150de4b0a,OLX,Salvador,Brotas,Imóveis com 5 ou mais quartos para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/5-ou-mais-quartos/estado-ba/grande-salvador/salvador/acupe-de-brotas
olx_ind_66bf9ab1db,OLX,Lauro de Freitas,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/mobiliado/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_ind_5a7ba90194,OLX,Lauro de Freitas,Buraquinho,Casa 3 quartos para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-alugar-no-bairro-buraquinho-em-lauro-de-freitas-ba-1475325835
olx_ind_cff1809c75,OLX,Lauro de Freitas,Vilas do Atlântico,Imóveis com 5 ou mais quartos para alugar,5800.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/5-ou-mais-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_ind_5056d6fe0b,OLX,Lauro de Freitas,Buraquinho,Casa para alugar de 3 quartos em Buraquinho,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-alugar-de-3-quartos-em-buraquinho-lauro-de-freitas-ba-1473138710
olx_ind_43714122ae,OLX,Santo Amaro,Geral,Casas para alugar,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_ind_5e2b571251,OLX,Santo Amaro,Centro,Casas para Alugar em Santo Amaro,0.0,3,120.0,ativo,2026-07-02,2026-07-02,https://www.mgfimoveis.com.br/aluguel/casa/ba-santo-amaro
olx_ind_d11af5ea88,OLX,Salvador,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-01,2026-07-01,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador
olx_ind_de86ab41eb,OLX,Salvador,Centro,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-01,2026-07-01,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/salvador/centro
olx_ind_e1934bc647,OLX,Salvador,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-07-01,2026-07-01,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/salvador/mussurunga
olx_ind_8d4c4055ae,OLX,Salvador,Brotas,Casas para alugar,0.0,3,120.0,ativo,2026-07-01,2026-07-01,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/salvador/brotas
olx_ind_353d4b2604,OLX,Lauro de Freitas,Buraquinho,"""condomínios em lauro de freitas para alugar""",0.0,3,120.0,ativo,2026-07-01,2026-07-01,https://www.olx.com.br/anuncios/condominios-em-lauro-de-freitas-para-alugar
olx_ind_f50b1ea929,OLX,Lauro de Freitas,Geral,Imóveis para temporada,2000.0,3,120.0,ativo,2026-07-01,2026-07-01,https://www.olx.com.br/imoveis/temporada/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
