id,plataforma,cidade,bairro,titulo,preco_aluguel,quartos,area_m2,status,data_descoberta,data_atualizacao,link
vivareal_2608e26448,VivaReal,Lauro de Freitas,Centro,"Casas para alugar em Centro, Lauro de Freitas",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/lauro-de-freitas/bairros/centro/casa_residencial/
vivareal_253eea4220,VivaReal,Lauro de Freitas,Geral,"Casas para alugar em Lauro de Freitas, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/lauro-de-freitas/casa_residencial/
vivareal_9877e42e18,VivaReal,Camaçari,Geral,"Casas para alugar em Camaçari, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/camacari/casa_residencial/
vivareal_040ae814bc,VivaReal,Camaçari,Geral,Casas para alugar em Busca,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/camacari/bairros/busca-vida/casa_residencial/
vivareal_5116635d76,VivaReal,Santo Amaro,Geral,"140 Casas para alugar em Santo Amaro, São Paulo",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/sp/sao-paulo/zona-sul/santo-amaro/casa_residencial/
vivareal_ind_59ce07c7f1,VivaReal,Salvador,Geral,"Casas para alugar em Salvador, BA",1500.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/salvador/casa_residencial/
vivareal_ind_268bc55527,VivaReal,Salvador,Geral,Aluguel de Imóveis,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/
vivareal_ind_b4b7641e70,VivaReal,Salvador,Geral,Casas para alugar,7968.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.zapimoveis.com.br/aluguel/casas/ba+salvador/
vivareal_ind_1b11864ce4,VivaReal,Salvador,Geral,"440 Casas para alugar em Salvador, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.imovelweb.com.br/casas-aluguel-salvador-ba.html
vivareal_ind_908787788c,VivaReal,Salvador,Geral,"7 Casas com Recepção para alugar em Alphaville I, Salvador",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/salvador/bairros/alphaville-i/casa_residencial/com-recepcao/
vivareal_ind_aae8955fa4,VivaReal,Salvador,Geral,"Imóveis para alugar em Salvador, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/salvador/
vivareal_ind_253eea4220,VivaReal,Lauro de Freitas,Geral,"Casas para alugar em Lauro de Freitas, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/lauro-de-freitas/casa_residencial/
vivareal_ind_8fa5fb61a9,VivaReal,Lauro de Freitas,Geral,Casas para alugar,2100.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.zapimoveis.com.br/aluguel/casas/ba+lauro-de-freitas/
vivareal_ind_d255295bd3,VivaReal,Lauro de Freitas,Geral,"373 Casas para alugar em Lauro de Freitas, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.imovelweb.com.br/casas-aluguel-lauro-de-freitas-ba.html
vivareal_ind_4b475ac22c,VivaReal,Lauro de Freitas,Geral,Casas para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
vivareal_ind_bd58e83adc,VivaReal,Lauro de Freitas,Geral,714 casas condominio fechado para alugar em Lauro de Freitas,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://imoveis.trovit.com.br/aluguel-lauro-freitas-casa-condominio-fechado
vivareal_ind_f5bbc5416c,VivaReal,Lauro de Freitas,Geral,Aluguel temporada & Airbnb em Lauro de Freitas,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.cozycozy.com/br/aluguel-temporada-lauro-de-freitas
vivareal_ind_2608e26448,VivaReal,Lauro de Freitas,Centro,"Casas para alugar em Centro, Lauro de Freitas",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/lauro-de-freitas/bairros/centro/casa_residencial/
